data,label
di update bukanya bagus lancar malah berat aplikasinya aplikasinya di buka kluar sendiri parah benar apalagi promo nya admin belanja ratusan baru dapat promo mau hps akun ja dah tokopedia khusus hp klas atas hp kentang tidak mendukung mungkin klo ada versi lite kukasih bintang,negatif
tadinya upload gampang dan mudah sekarang sudah tidak bisa upload disuruh konek ke tiktok tapi sudah di konek tapi tidak bisa katanya tidak memenuhi syarat padahal sebelumnya amanaman aja jualan disini,negatif
asli tidak jelas akhir ini mencari barang selalu dikasih lihat barang yang sama berulangulang produknya hanya itu aja seolaholah hanya di dominasi sama toko aja tidak jelas,negatif
bagus sih mudah di pakai nya tapi kenapa yah fitur paylater saya tibatiba sekarang susah di pakai dan fitur paylater nya malah jadi non aktif sendiri kira² kenapa yah nanti balik lagi kalau fitur paylater saya udah kembali aktif lagi entah salah nya di manah padahal tidak pernah telat dah perasaan,negatif
saya menerima barang palsu dan ketika pengembalian barang return ke penjual tidak sampai sampai ke tangan penjual sehingga saya tidak dapat menerima uang saya kembali layanannya jelek dan tidak bertanggung jawab,negatif
tokopedia nyaman dan banyak pilihan produk tapi akurasi lokasi kadang kurang tepat estimasi ongkir dan pengiriman jadi kurang akurat semoga fitur lokasi bisa lebih presisi supaya belanja semakin mudah dan cepat,positif
sangat recommended untuk berbelanja online,positif
lacak status paketnya kurang lengkap tudak di jelaskan sudah sampai mananya,negatif
tolong tingkatkan lagi untuk kurir nya klau bisa pakai sicepat agar cepat pengiriman nyah,negatif
respon cepatbagus sekali,positif
bagus banget,positif
pengiriman ekpedisi berhari membuat barang telat hub customer service kurir atau tokopedia ga jelas hanya suruh sabar pelayanan kurir yang telat mohon dievaluasi kita juga bayar loh untuk kirimanya tidak cm free saja tolong cek lagi kurir ekspedisi yang selalu lewat batas kirim kalau gini terus konsumen rugi tunggu rate toko juga malah jadi jelek karena kurir lama jangan sampai tokopedia di unistall gara layanan kurir yang lama tolong di perhatikan bukan hanya nanti di evaluasi tapi aktual tidak ada perubahan,negatif
mantap mudah untuk transaksi,positif
oke barang bagus,positif
murah,positif
tolong diperbaiki,negatif
seperti aplikasi yang tidak terurus sejak di ambil alih sama tiktok semakin ancur aplikasi ini sebagai seller dan buyer cukup kecewa dengan keadaan tokopedia sekarang,negatif
semoga semuanya menjadi banyak manfaat khairun nasi anfauhum linmas thank you friend,positif
hoax bukanya dapat harga murahmalah semua voucher tiba tiba ilang,negatif
sekarang semakin buruk tidak bisa posting ulasan mana tidak bisa login pula tapi msih lebih bagus dari shoope,negatif
aplikasi nya sangat bagus,positif
fiturnya dikembangkan dong kaya ecommerce sebelah jasa pengiriman masa random tidak bisa pilih sesuai pembeli tidak ada pilihan kurirnya payah,negatif
saya sudah kembali kan barang ke toko karna barang tidak sesuai terlalu ribet pengembalian saldo nya jangan belanja di toko pedia lagi teman teman saya kecewa bayak toko yang tidak amanah di toko pedia hati hati klo belanja online mending belanja di toko langsung lebih aman,negatif
g jelas koneksi timeout mulu kalau mencari barang harus di refresh baru bisa heran ini error kah,negatif
banyak iklan mengganggu,negatif
mantap,positif
keseringan update setiap dibuka minta update kalau tidak di update app tidak kebuka maksa banget,negatif
bagus,positif
sumpah lumayan ribet pakai tokopedia sameday katanya sampai satu hari sudah dua hari masih belum sampai ongkir mahal voucher sangat terbatas,negatif
kacau data saya bocor,negatif
mantapp,positif
sering lambat dalam membuka bagian keranjang dibandingkan aplikasi belanja lainnya bagian menghubungkan dengn dana gopay ovo dan lain lain sms sering terhambat dan gagal kirirm sms,negatif
bagus,positif
ini gimana ya aplikasi nya kok waktu udah checkout tidak bisa di kensel ya padahal belum ada jam terus tempat censel nya kok tidak ada ya padahal biasa nya ada kecewa berat sih,negatif
kali belanja di tokopedia selalu meleset estimasi pengiriman nya kalah jauh dengan platform sebelah fitur tanya pun tidak pernah bisa selesaikan komplain,negatif
dana pengembalian tidak msk rekeningku buruk skali,negatif
aplikasi nya bagus,positif
saya kira beli online itu murah tau nya mahal juga mana ongkir nya hampir sama dengan harga nya parah,negatif
sangat baik,positif
sistem pelayanan mudah dan cepat,positif
mana fungsi untuk bagus up saldonya bingung tidak semudah platform platform sebelahnya ada yang berhasil tapi pakai cara khusus ya kali tiap mau bagus up harus pakai cara yang seribet itu tolong pihak aplikator untuk memasang fitur yang memudahkan usernya untuk melakukan topup setelah terealisasi baru nanti bintang,negatif
coba belanja di tokopedia,netral
murah semua harganya ss,positif
saya pernah kemarin pesan minyak kayu putih cap ayam sudah dibeli tidak bisa cash on delivery akhirnya saya transfer tiba tiba uangnya dikembalikan dari tokonya tidak tau apa permasalahannya dan sama sekali tidak ada konfirmasi dari tokonya,negatif
banyak penipuan mending shope chat admin tidak ada solusi,negatif
pokoknya tokopedia mantap lah,positif
mantap,positif
kurir patnernya pada lambat banget tiap pesen barang selalu telat nyampenya tidak sesuai estimasi,negatif
sering error kenapa ini di update semakin sini semakin parah erornya,negatif
gampang freeze kalau mau checkout,negatif
aplikasinya panas menguras baterai,negatif
jasa pengiriman paket nya terkesan lambat dan tidak proporsional sehingga membuat pengiriman paket saya menjadi sering tertunda dari jadwal yang seharusnya padahal jarak rumah saya masih berada di dalam kota yang sama dan hanya karena masalah tidak nemu alamat langsung di kembalikan ke pengiriman ulang padahal jaraknya dekat,negatif
kenapa tokopedia sekarang kurang jelas dalam komplain barang dan return padahal dulu bagus dan cepat sekarang hampir bulan dari september sampai oktober belum ada kejelasan dan tim tokopedia care hanya memberi pesan menunggu dan tetap mengoptimalkan sampai saat ini tanpa kejelasan kendala apapun dimohon untuk tim tokopedia lebih mementingkan pihak costumer dalam berbagai kendala dalam jual beli semoga dari pihak tokopedia menindak lanjuti problem ini dan masalah costumer lainnya,negatif
saya beli dek lumpur vario sampai sekarang belum sampai saya sudah komplin ma tokopedia dan mau diinvestigasi tanggal sampai sekarang kejelasan penanganan komplinnya belum jelas barangnya sudah dimana belum jelas dari ekspedisinya juga sama tidak jelas jawabannya apa perlu berbulan bulan menangani maslah ini,negatif
aplikasi tolloll,negatif
parah dikembalikan uangnya tidak kembali full najis,negatif
bank bunga cicilan malahan tokopedia memakan uang pelanggan dengan biaya layanan parah kalau hubungi pihak bank dengan pihak pembeli kalau dibagi bulan bulan bulan bulan itu urusan bank dengan pembeli dan konsumen tidak ada hubungan dengan tokopedia tokopedia hanya menerima pembayaran total nya saja nampak x tokopedia sekarang kurang peminat garagara dibuat makan uang pembeli biaya layanan,negatif
aplikasi sampah tidak bisa pakai bebas ongkir,negatif
menyesal beli tokopedia tambah hanya buat jawa aplikasi jelek tidak seperti shopee yang seluruh indo,negatif
mau verifikasi aja susah banget,negatif
proses cepat,positif
sehabis dari transaksi pertama saya masuk lagi mau belanja cari barang dapat barangnya masuk keranjang tiba ada voucher yang ntah itu voucher apa aku pakai tapi setelah aku pakai kok ky error keluar masuk lagi kirain bakal normal sekarang jdi tidak bisa lagi pke voucher apa selain voucher dari toko sumpah berasa kena jebakan klo tahu gtu mah tidak bakal aku pke itu voucher tidak jelas tokopedia freak sistem,negatif
tokopedia bangke nyusahin driver online krna titik tidak pernah akurat,negatif
lebih banyak pilihan baik jenis barang merk ukuran harga juga ekspedisi banyak tinggal pilih saja,positif
oke cepat prosesnya,positif
jelek banget sumpah sinyal udah g penuh paket data mash gb pas buka buat bales chat transaksi atau pilih pembayaran selalu tidak ke load ujungujungnya gagal ampas apps nya,negatif
diskonnya banyak murah murah cuma masalahnya saat mengisi alamat pengiriman disuruh nulis kode pos sedangkan untuk kolom kode pos tidak ada tolong diperbaiki secepatnya,negatif
beli pulsa listrik d tokopedia dri kmren mlm smpai saat ini tokena blom adastatusa masih mnunggu konfirmasi toko menyesal bagtz dh belanja d tokpedmendingan belanja d shoope sekalian,negatif
cobain dulu baru komentar,netral
mau chat sama live agent aja susah minta ampun,negatif
bagus,positif
ini belanja banyak kurir sicepat tidak ada solusi malah tertahan jam lebih hampir hari sedang estimasi sudah lewat gimana konsumen mau nyaman bro konsumen butuh solusi agar tidak kyk gini pengaduan malah bicara sama robot ngotak tidak kalian tokopedia,negatif
sekarang tokopedia tidak bisa ngajukan komplain udah hari barang tidak datang padahal jaraknya malangsurabaya yang normalnya hari mau komplain tunggu besok udah besok tunggu lagi besok gitu aja seterusnya udah tanya ke tokopediacare tapi jawabannya tidak jelas dan tidak ada solusi kayaknya mulai pindah aja sih ke toko oren ketimbang ini padahal udah langganan tokopedia tambah setahun lebih,negatif
minimal jelasin lah itu ke saya kenapa fitur tambah saya di blacklist padahal saya tidak ngapangapain udah aaya laporin di email tidak di jwb di customer service malah tidak jels,negatif
aplikasi nya kurang memuaskan tidak ada diskon soalnya aku mau beli buku harga rb diskon tulisan nya pas mau di co rb hdh,negatif
semakin buruk aplikasinya,negatif
aku dapat resep dokter gratis,positif
terlalu sering update sangat mengganggu dan lambat juga memakan memory media,positif
tambahkan fitur rating kurir agar rating pengiriman tidak tercampur dengan rating barang apakah perusahaan besar ini membaca saran kecil ini,netral
gara gara di tautan sama tokopedia tiktok saya tidak bisa digunakan playater nya sedangkan tokopedia belum pernah belanja,negatif
belanja banyak harga semakin mahal masa harus belanja satu satu kalah sama toko orange yang langsung sameday belanja banyak tidak berubah lagi harganya,negatif
maaf saya kasih bintang karena aplikasi nya tidak bagus setiap mau di pakai harus daftar ulang buat masuk hari ini tanggal say mau uninstall aplikasi nya saya tidak ada pinjaman apapun di sini tidak belanja apa di sini jdi saya tidak punya cicilan apapun,negatif
masuk ke pembayaran muter² terus udah sering seperti ini internet lancar di aplikasi lain lancar,negatif
mohon diperbaiki error,negatif
apa hanya di saya saja tokopedia ada biaya ongkos kirim setiap belanja padahal dulu saya sering dapat banyak voucher diskon dan bebas dari biaya ongkos kirim,negatif
tokopedia jika tidak dibenahi mulai dari harga dan seller suatu saat akan jadi cerita saja,negatif
tidak sengaja keluar akun eh pas mau masuk lagi malah tidak bisa,negatif
banyak seller tidak bertanggung jawab sudah dapat flashsale malah dibatalkan secara sepihak kalau memang tidak mau barangnya ikut flashsale tidak usah didaftarkan flashsale malah pembelaan dikira bukan flashsale makanya dibaca lalu untuk customer service tokopedia tidak membantu sama sekali user sudah buang tenaga waktu uang setelah ada kejadian malah tidak mau memberikan solusi yang sepadan user susahsusah harus ini itu kalian cuma mau enaknya saja perbaiki kualitasnya,negatif
kebanyakan barang tidak ada metode cash on delivery padahal cash on delivery lebih mudah dan praktis,
jelek banya error bisa bisanya voucher ada tapi tidak ad satupun yang bisa di pakai mending apus membuat hp jadi bert event bedug juga di hp ram sering macet layrnya hrus restar paksa pke tombol power masih ringan shopee ori di bandingin tokoped,
mantap,positif
ngadain program flasale cuma pembohongan publik sudah dapat promo di batalkan customer service tokopedia vs seller saling lempar masalah tanpa ada solusi yang baik,
saya nyaman dan terpercaya belanja di tokopedia,positif
tidak bisa kirim vidio via chat tokopedia jai kalau mau komplain susah karna peraturannyaapalagi kirim link arau nomor resi tidak bisa,
aplikasi ini bagus banget ya semoga bermanfaat ya aplikasi ini,positif
belanja banyak tapi tidak ada potongan gratisan ongkir itu gimana coba anehh banget,
bagus tokopedia mudah di gunakan,positif
kalau banyak promo bintang akan bertambah sendiri,netral
toko pedia kebanyakan toko penipu terutama toko jualan spedahapakah tidak bisa di hapus toko tersebut,
bagus sekali memuaskan,positif
sistem pengiriman paket lamajauh dari estimasi,
admin tolong tambah kan map dong agar bisa tau paket nya dah dimana plis,netral
mantap baik,positif
bagus,positif
bagi saya sekarang belanja di tokopedia jauh dari kata menyenangkan penjual terkesan sangat malas menjawab pertanyaan via tokopedia chat bisa dua hari kemudian baru di jawab bahkan sering kali tidak sama sekali beberapa produk yang di jual tidak mengedepankan kualitas alhasil saat dikembalikan konsumen semakin dirugikan dengan biaya pengembalian yang sepenuhnya di tanggung konsumen semoga belanja di tokopedia dapat kembali menyenangkan seperti dulu,
beli di tokopedia dan dibatalkan pembeli uang tidak kembali kepotong rupiah aneh,
pengembalian dana lambat padahal pesanan belom dikemas seller juga pada afk no respon pas pengembalian dana lambat tidak dibantu oleh pihak tokopedia chat malah ke ai customer service tidak ada responemng mantap ini mah,
terbaik,positif
bagus,positif
buruk sekali akun saya di non aktifkan tanpa penjelasan,
belanja susah sekali karna banyak yang tidak bisa cash on delivery tak seperti aplikasilainnyasemoga diperluas piturnya,
bagus banget,positif
dulu terpercaya belanja disini sekarang smakin parah para penjualnya,
lambat banget abis updatemau kontak customer service loadingnya lama banget tidak kebuka bukaperbaiki servernya,
belanja online terbaik,positif
sangat membantu untuk berbelanja,positif
pelayanan tidak sesuai tidak bisa memecahkan permasalahan antara pembeli dan penjual,
sangat membantu tingkatkan kualitas dan pelayanan,positif
mantap,positif
bagus,positif
pakai toko pedia banyak layanannya,positif
baik,positif
kartu tokopedia terbaik,positif
cepat,positif
prosesnya mudah dan cepat semoga pengirimannya juga cepat ya dan yang terpenting barangnya harus sesuai pesanan dan aman sampai di tangan saya selaku pembeli terima kasih toko pedia salam dari floresntt,positif
saldo dana saya ilang kesedot aplikasi tokopedia apakah bisa kembali tolong bantuan nya untuk kembali,
seperti yang sudah² ecommerce yang sering nipu user dengan vocer belanja umurnya tidak bakal lama terutama developernya kalau tidak cepirit x sehari ya mati ketiban atap,
aplikasi lemot,
paket saya gatau di puter puter kemana saat pengiriman hadehh kecewa banget deh,
sangat puas belaja di sini sukses terus buat tim pengembang,positif
semoga sukses selalu,positif
program yang bagus,positif
lambat saat di pencarian dan yang di cri tidak muncul atau beda dengan kata kunci,
sekarang fitur search dalam tokonya kenapa jadi bosok sekali jelas² barangnya ada dan tersedia tapi waktu dicari pakai kata kunci malah bilangnya produk tidak ditemukan,
mau milih metode pembayaran tidak bisa hanya layar putih,
kebanyakan ngelag mending di shopee,
komplain yang tanpa dijawab ai sebelah manapaham tidak jawbn ai malah membuat ribet,
ribet,
lambat,
saya sebagai seller merasa kecewa dan sangat dirugikan atas adanya vocher yang kalian buat dan keputusan yang tidak masuk akal yang tim customer service kalian lakukan tanpa ada unboxing dan minimnya bukti bisanya sengketa dimenangkan oleh si penipu pembeli tanpa barang saya dikirim balik uang hilang barang juga ilang saya pastikan saya akan off jualan di tokopedia,
pembelian produk menggunakan pembayaran gopay later yang sudah di lunasi hari setelah pembayaran produk ketika pembelian di batalkan saldo gopay saya yang di gunakan untuk melunasi gopay later tidak di kembalikan,
makasih tokopedia,positif
oke dapat promo,positif
kamu aplikasi udah kalah sama shopee cok mending di akusisi sama shopee dah dari pada bangkrut ongkir kamu kemahalan opsi layanan kurir aja susah amat diskon berasa bayar bea cukai dari harga barang kocak,
sudah tidak aman akun saya tiba statusnya nonaktif dengan keterangan dinonaktifkan secara mandiri padahal saya tidak pernah menonaktifkan akun orderan saya total sekitar rb belum ada yang saya terima pas mau ngecek riwayat transaksi akun sudah tidak bisa dibuka mengajukan komplain melalui tokopedia care tidak ada notifikasi atau tanggapan yang masuk melalui email atau wa,
semakin banyak yang baru pop up rekomendasi prodak setelah memasukan prodak yang ingin di beli muncul berkali kali akhirnya tidak jadi beli teks putih di atas background putis saat membuka home toko yang dituju konten review prodak yang nge loop tanpa loading konten baru prodak yang di jual di tiap berubah jadi prodak yang direkomendasikan tokopedia dan irelevant dengan toko yang sedang di check masa buka toko politron munculnya lemari dan samsung jual gerinda ryu update teros,
aplikasi bagus transaksi pakai dana cepat,positif
tolong fitur tidak ingin melihat barang yang serupa nya betulbetul di koreksi berapa kali saya pencet barang yang sama sebagai iklan muncul terus ganggu banget,
tokopedia melindungi kepentingan konsumen dan penjual,positif
menyulitkan seller malah ada app pihak ketiga tiktok senter buat apa tambah ribet hey developer mikir,
tidak bisa mengirim gambar ulasan penilaian barang dari galeri harus foto langsung tolong dikembalikan lagi seperti sebelum update bisa kirim foto dari pilihan galeri,
tokopedia jing gaada respon tokopedia care gaguna prcuma,
pesanan saya barang tidak ada seller minta pembatalan karena barang kosong tetapi sampai saat ini pembatalan belum dikonfirmasi dan dana belum dikembalikan tokopedia sekarang sangat buruk ulasan mengenai pembatalan dan pengembalian dipersulit,
proses pengembalian dana nya hari kerja parah banget mending sebelah,
mantap,positif
pelayanan customer servicenya buruk,
hati kena penipuan kemaren beli di salah satu official store brand ternama admin toko tidak memberikan informasi yang lengkap ketika barang sudah sampai ternyata tidak kompatible tidak sesuai dengan deskripsi yang di berikan oleh admin dan ketika pengajuan komplain admin tokopedia lebih memihak ke penjual tanpa memikirkan kerugian dari pembeli sedikitpun kecewa berat sih kok bisa member diamond dapat perlakuan seperti ini haha,
tiap checkout di suruh di batal sama toko nyaalesan stok habis padahal sbelum di co masih tersedia produk nya,
cepat mudah dan amanah,positif
saya beli pompa air pakai gopaylater angsuran bulan sedangkan pompa yang saya beli baru minggu udah rusak tidak bisa di komplain dan pihak tokopedia tidak ada solusi buat bantu masalah saya tidak lagi belanja di tokopedia,
toko pedia aplikasi nya buruk lambat buka gambar saja jeda nya lama membuat jengkel dan menu buat lihat tagihan gopay later tidak ada menu nya mau gimana coba saya bayar tagihan awal,
langganan tambah saya diblokir tanpa adanya kejelasan clk cct,
dulu mah bagus tidak seperti sekarang sekarang mah banyak toko tidak jelas sering belanja dicuekin sama toko sampai batal otomatis di chat diliat doank tidak dibales membuat malas belanja nya,
alhamdulillah lebih baik,positif
kenapa sekarang pesan inbox tidak bs di hapus sekarang uda bisa,netral
tolong update kan menu foto untuk memudahkan pencarian barang update keamanan terbaruuser interface tahun sebelumnya algoritma jangan selalu diubah seperti sistem sebelumnyajangan pindah ke perusahaan lain terima kasih tolong dibaca,netral
admin dan customer service tokopedia lambat tidak memberikan solusi dari komplain saya sebagai pembeli yang dirugikan sudah berkalikali menghubungi customer service tapi cuma jawaban template bilangnya akan diperiksa tapi tidak sampai sekarang komplain dikembalikan barang saya masih belum ada penyelesaian,
knapa setiap transaksi tidak bisa di proses,
sangat bagus,positif
oke lumayan,netral
aplikasi yang terbaru mengalami crash system tidak bisa dibuka mohon kendala ini diperhatikan akun pribadi sangat penting,
tokopedia salah satu aplikasi pasar online terbaik dan saran aja kalau bisa tidak ada tuh yang namanya misteri box,positif
saya sering belanja online tapi pasmau cekot ongkir mahal akhirnya saya cari marketplace yang ongkir nya murah tolong tokopedia kasi gratis ongkir dan potongan hargadong agar semangat belanjanya,
beberapa ulasan produk menunjukkan gambar yang tidak senonoh,
lumayan,netral
sekarang mahal amet ongkire mhalan ongkire timbang brang yang di jual jdi malas blinya,
sudah malas belanja di tokopedia langganan buyer tambah mahal gratis ongkir pelit cashback pelit produk tidak komplit banyak toko yang cabut pindah ke shopee,
beli emoney status berhasil tpi saldo tidak masuk payah,
sangat baik,positif
mantap lah,positif
aplikasi online paling pelit gratis ongkir minimal belanja juta apaan coba mending pakai aplikasi oren yuk mari kita pindah ke aplikasi oren uninstall aja tokopedia fix ini harus diuninstall tidak pernah ada gratis ongkir sekalinya ada harus belanja tiga juta apalah itu dikira saya pekerja dpr,
kenapa pencarian nama barang kalau di toko ngak sesuai di ketik aneh dan juga sering juga error nge freeze gambar ngak muncul padahal koneksi internet saya normal saya di aplikasi sebelah lancar aneh ²,
aplikasi lambat,
aku kena penipuan di toko pedia ini dan akun toko saya diblokir tolong pencerahannya,
yth tokopedia tolong bantu saya dengan id prayogi putranto membelibarang berupa hp yang d kirim soklin belum saya confirmasi barang sekarang dalam proses pengajuancomplain tolong d bantu saya rugi jutaan klo sampai pengajuan komplain saya d tolak sayaharus angsur perbulan selama bln saya merasa d rugikan klo se andainya gagal pengajuan pengembalian barang,
di persulit untuk return,
oy tokopedia di pencarian terjadi buq tolong segera di fixjadi kzl saya,
mesen barang sampai jutaan udah dipesen dibatalin sama toko secara sepihak harusnya dana saya kan balik ini malah ditahan sama pihak tokopedia tanpa kejelasan apapun kapok saya belanja di tokopedia saya ngadu minta bantuan tokopediacare pun percuma yang bales ai gaakan ada solusi,
sekarang semakin parah si ijo ini masak dana dikembalikan lama banget baliknya ini udah mau jam masih belum balik ke rekening padahal uang lagi dibutuhin buat yang lain aneh sih toko oren aja tarik uang hanya itungan detik masuk kecewa,
oke kak lakukan dengan sebaik apapun itu oke,positif
pas bayar suka gagal promo nya jadi ilang,
pihak tokopedia selalu merekomendasikan barang yang mengandung unsur padahal saya tidak pernah mencari barang tersebut di pencarian dan ini sangat menggangu kenyamana saya sebagai pengguna,
mantap banget,positif
lebelnya hanya gratis ongkir kencur,
tolong donk buat tokopedia seringsering di cek tokotoko online yang bekerjasama masih banyak saya jumpai toko abalabal ada lapaknya tapi udah lama tidak update produknya tidak pernah online kirim chat tidak pernah dibalas stok produk masih muncul tapi begitu dibeli ternyata stok sudah habis kirim produk sering mendekati batas akhir transaksi dan lain lain tokopedia kalau tidak mau berbenah bakal ditinggal customer dan kedepan mungkin hanya tinggal nama kalah sama toko online sebelah,
oke pengiriman cepat ,positif
aplikasi yang menurut ku termasuk aplikasi terbaik,positif
baru ini make tokopedia pembelanjaan dari tokopedia terlalu lama paling seneb belanja pengiriman nya lama untuk proses nya di perbaiki lagi tuh tolong,
aku selalu jadi langganan tokopedia terpercaya tepat pas barang ya,positif
belanja disini sering dapat barang palsuini udah kesekian kalinya saya dapat barangbpalsu dan tidak sesuai poto dan deskripsi produk apa tokopedia tidak manegur selleer nya yang dapat bintang ya udah gitu susah banget terhubung dengan customer service yang jawab pesan botkitanya tidak bisa menyampaikan keluhan secara langsungsolusi mengembalikan barang merepotkan sekali sumpah,
aplikasinya nipu harga jangan di download,
tidak usah nyantumin diskon kalau tidak bisa dipakai aplikasi scammer jangan di download,
serba mudah mantap pokona mah,positif
tokopedia banyak barang palsu dan tidak asli dan barang ilegal dan tidak ada perijinan dari pajak dan bea cukaipantas negara indonesia jadi rugi sekitar rp triliun,
aplikasi sering bermasalah mengenai jaringan padahal wifi selalu normal namun server tokopedia sering tidak merespon tolong perbaiki segera,
aplikasi terbaik tidak diragukan lagi,positif
berat banget ini aplikasi tokopedia sekarang dulu saya lebih prioritas tokopedia ketimbang keranjang kuning karena aplikasi nya enteng sekarang buat scroll cari barang sbntar aja udah berat hp ram padahal,
sekarang pengiriman di tokopedia jadi lambat banget,
pertama belanja semoga banyak promo dan gratis ongkir,netral
sangat puas belaja di sini sukses terus buat tim pengembang,positif
banyak modus penipuan,
parameter batasan keranjangnya absurd haha kalau pakai batasan item barang atau toko tidak masalah ini malah pakai batasan pcs juga efeknya ini saya pesen kertas pcs tidak bisa jadinya wkkw klik beli juga tidak bisa karena larinya kekeranjang dan pasti kena batas max pcs lagi,
saya kena tipu toko abal abal tokopedia tidak ada tanggapan buat membantu saya,
lebih baik belanja di shopee dari pada tokopedia sudah pesan bayar sudah ditunggu malah barang tidak datang tampa konfirmasi dan uang masuk ke saldo tokopedia,
barusan saya kena tipu saya wa ke no wa yang dapat dari instagram resminya tokopedia karena ada pembatalan pembelian dia nyuruh saya beli barang terus dibatalin akhirnya saya beli tapi saldonya tidak balik lagi malah ada yang ngambil di akun tokopedia punya saya,
aplikasi parah promo besar buat pelanggan tertarik dan akhirnya dibikin kecewa barang tidak pernah dikirim,
